model,strategy,C_Causal,M_Mechanism,R_Risk,S_Structure,Avg_SCRM
GPT-4.1,zero-shot,0.51,0.48,0.34,0.54,0.468
GPT-4o-Mini,zero-shot,0.34,0.4,0.41,0.49,0.41
Claude-3-Haiku,zero-shot,0.28,0.43,0.47,0.41,0.397
DeepSeek-V3,zero-shot,0.34,0.43,0.38,0.4,0.388
GPT-4.1-Mini,zero-shot,0.31,0.34,0.24,0.41,0.325
Llama-3.1-8B,zero-shot,0.27,0.32,0.27,0.33,0.298
GPT-4o,zero-shot,0.23,0.34,0.24,0.35,0.29
Qwen-2.5-7B,zero-shot,0.23,0.23,0.24,0.26,0.24
Claude-3-Haiku,few-shot,0.43,0.41,0.36,0.38,0.395
GPT-4o-Mini,few-shot,0.44,0.39,0.35,0.3,0.37
DeepSeek-V3,few-shot,0.24,0.28,0.26,0.3,0.27
Qwen-2.5-7B,few-shot,0.28,0.21,0.22,0.25,0.24
GPT-4.1,few-shot,0.23,0.27,0.18,0.24,0.23
GPT-4.1-Mini,few-shot,0.24,0.24,0.22,0.21,0.227
Llama-3.1-8B,few-shot,0.17,0.22,0.17,0.26,0.205
GPT-4o,few-shot,0.29,0.18,0.17,0.17,0.202
GPT-4o,cot,0.4,0.49,0.47,0.45,0.452
Qwen-2.5-7B,cot,0.34,0.45,0.41,0.45,0.412
Llama-3.1-8B,cot,0.33,0.43,0.36,0.45,0.392
DeepSeek-V3,cot,0.41,0.42,0.34,0.39,0.39
GPT-4o-Mini,cot,0.35,0.38,0.36,0.38,0.367
GPT-4.1-Mini,cot,0.35,0.38,0.39,0.34,0.365
GPT-4.1,cot,0.31,0.36,0.33,0.44,0.36
Claude-3-Haiku,cot,0.32,0.33,0.36,0.37,0.345
GPT-4o-Mini,structured-cot,0.71,0.76,0.68,0.71,0.715
DeepSeek-V3,structured-cot,0.66,0.68,0.64,0.76,0.685
Llama-3.1-8B,structured-cot,0.6,0.66,0.72,0.66,0.66
GPT-4.1,structured-cot,0.67,0.67,0.63,0.65,0.655
GPT-4.1-Mini,structured-cot,0.65,0.68,0.56,0.64,0.633
Claude-3-Haiku,structured-cot,0.6,0.62,0.54,0.6,0.59
Qwen-2.5-7B,structured-cot,0.57,0.54,0.57,0.6,0.57
GPT-4o,structured-cot,0.61,0.57,0.5,0.59,0.568
