accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,model,strategy,source,n_samples,cares_score
0.55,0.51171875,0.591015625,0.5558223289315727,0.5840867992766727,GPT-4o,zero-shot,BioREASONC-YesNo,200,0.513237664245328
0.03,0.0194174757281553,0.058252427184466,0.3333333333333333,0.01,GPT-4o,zero-shot,BioREASONC-MCQ,200,0.0265631323454143
0.57,0.5305164319248825,0.5373239436619719,0.5789180920595188,0.5568922305764411,GPT-4o,zero-shot,PubMedQA,200,
0.82,0.0038215661785455,0.0469380181222286,0.0025214720866894,0.0081495656943227,GPT-4o,zero-shot,MedQA,200,
0.72,0.7017771216121466,0.7151011255525753,0.7209527400703871,0.6987545842430469,GPT-4o,zero-shot,MedMCQA,200,
0.32,0.3156199677938809,0.283864734299517,0.5764809902740937,0.5521398432790837,GPT-4o,few-shot,BioREASONC-YesNo,200,0.3045273386742149
0.085,0.0313364055299539,0.1566820276497696,0.2,0.017,GPT-4o,few-shot,BioREASONC-MCQ,200,0.0901249133147988
0.515,0.3333154525623145,0.494846314773093,0.369281045751634,0.3510442773600668,GPT-4o,few-shot,PubMedQA,200,
0.31,0.0046598639455782,0.056595238095238,0.004184451398511,0.006588999236058,GPT-4o,few-shot,MedQA,200,
0.435,0.3452982202982202,0.5235804473304473,0.4619341773297581,0.2806870180896252,GPT-4o,few-shot,MedMCQA,200,
0.34,0.226822274762312,0.3292192766235726,0.3704413472706155,0.3590516375326502,GPT-4o,cot,BioREASONC-YesNo,200,0.3197062714430231
0.565,0.1805111821086261,0.7220447284345047,0.25,0.14125,GPT-4o,cot,BioREASONC-MCQ,200,0.5303139636102372
0.565,0.3684019684019683,0.5565967365967366,0.3769287559985234,0.3717627401837928,GPT-4o,cot,PubMedQA,200,
0.92,0.004837523211315,0.0601887547522177,0.0032037483510209,0.0101720530109276,GPT-4o,cot,MedQA,200,
0.755,0.7455248216170298,0.7567962202969042,0.742640500752203,0.7509888230089758,GPT-4o,cot,MedMCQA,200,
0.595,0.5713265063110264,0.6297547035008335,0.6284542969936229,0.6912296564195298,GPT-4o,structured-cot,BioREASONC-YesNo,200,0.5625691957439546
0.54,0.1753246753246753,0.7012987012987013,0.25,0.135,GPT-4o,structured-cot,BioREASONC-MCQ,200,0.5179810807355805
0.575,0.5429001640181764,0.5489567368449356,0.5818607068607069,0.5631578947368421,GPT-4o,structured-cot,PubMedQA,200,
0.835,0.0049950671243309,0.0600818403259953,0.003305221639428,0.0104507598113736,GPT-4o,structured-cot,MedQA,200,
0.7,0.6899645953409395,0.7020585117789419,0.6886358533339104,0.6943827860781712,GPT-4o,structured-cot,MedMCQA,200,
0.745,0.5633374716383407,0.7266929234984374,0.57884654164146,0.5589210367691381,GPT-4o-Mini,zero-shot,BioREASONC-YesNo,200,0.7010769572593296
0.075,0.0465116279069767,0.1395348837209302,0.3333333333333333,0.0249999999999999,GPT-4o-Mini,zero-shot,BioREASONC-MCQ,200,0.0711512473537885
0.555,0.4676874308442238,0.4784667603696283,0.5852272727272727,0.5360902255639097,GPT-4o-Mini,zero-shot,PubMedQA,200,
0.745,0.004476223363795,0.0528875788094653,0.002972375734524,0.0093359326095899,GPT-4o-Mini,zero-shot,MedQA,200,
0.63,0.6254049840852552,0.6329234321532161,0.6331879718192477,0.6303415350257574,GPT-4o-Mini,zero-shot,MedMCQA,200,
0.385,0.384245700983705,0.3967455132537358,0.5444654683065279,0.54957805907173,GPT-4o-Mini,few-shot,BioREASONC-YesNo,200,0.3633457031533468
0.355,0.1047970479704797,0.5239852398523985,0.2,0.071,GPT-4o-Mini,few-shot,BioREASONC-MCQ,200,0.3434233538942859
0.515,0.4536904057897552,0.4445397200867336,0.5685215946843853,0.5330827067669173,GPT-4o-Mini,few-shot,PubMedQA,200,
0.11,0.0014748409485251,0.0153036437246963,0.0041666666666666,0.0009240759240759,GPT-4o-Mini,few-shot,MedQA,200,
0.31,0.2691133733767756,0.4079959761639795,0.4025077160493827,0.2056707859449843,GPT-4o-Mini,few-shot,MedMCQA,200,
0.495,0.4771038803033832,0.5332106339468303,0.558478920389162,0.5842374924653406,GPT-4o-Mini,cot,BioREASONC-YesNo,200,0.4686495492369538
0.24,0.0967741935483871,0.3870967741935484,0.25,0.06,GPT-4o-Mini,cot,BioREASONC-MCQ,200,0.2257866249360222
0.535,0.5146011117200344,0.5195764503249041,0.5298713235294117,0.5260651629072682,GPT-4o-Mini,cot,PubMedQA,200,
0.815,0.0045490099607108,0.0520123967423792,0.0030006759233167,0.0098635379965303,GPT-4o-Mini,cot,MedQA,200,
0.64,0.630909090909091,0.6434181818181819,0.6309706962170013,0.6346169213864749,GPT-4o-Mini,cot,MedMCQA,200,
0.67,0.6071428571428571,0.6982857142857142,0.6116015132408574,0.6600361663652803,GPT-4o-Mini,structured-cot,BioREASONC-YesNo,200,0.6308743932035917
0.76,0.2878787878787879,0.8636363636363636,0.3333333333333333,0.2533333333333333,GPT-4o-Mini,structured-cot,BioREASONC-MCQ,200,0.7209993065183905
0.525,0.4830072651084325,0.4903744115806374,0.5164473684210527,0.51203007518797,GPT-4o-Mini,structured-cot,PubMedQA,200,
0.81,0.0047061872516877,0.0551676356589147,0.003118662316495,0.0101422447969762,GPT-4o-Mini,structured-cot,MedQA,200,
0.645,0.6311913120967135,0.6493181048088381,0.6324761127237541,0.6351115558599826,GPT-4o-Mini,structured-cot,MedMCQA,200,
0.44,0.4288045695634435,0.475185638514892,0.5296703296703297,0.5406871609403255,GPT-4.1,zero-shot,BioREASONC-YesNo,200,0.4164719678441756
0.495,0.1655518394648829,0.6622073578595317,0.25,0.12375,GPT-4.1,zero-shot,BioREASONC-MCQ,200,0.4733929657272063
0.57,0.5601023017902813,0.5634015345268542,0.5680000000000001,0.5639097744360902,GPT-4.1,zero-shot,PubMedQA,200,
0.915,0.0037053619592189,0.0496429280397022,0.0024926938625272,0.0076383548250555,GPT-4.1,zero-shot,MedQA,200,
0.775,0.7665394528051843,0.775239583166845,0.7714524133746996,0.7653452630677682,GPT-4.1,zero-shot,MedMCQA,200,
0.38,0.3794414973476128,0.3686437794014612,0.6111111111111112,0.5988547317661241,GPT-4.1,few-shot,BioREASONC-YesNo,200,0.3548075534708921
0.08,0.0296296296296296,0.1481481481481481,0.2,0.016,GPT-4.1,few-shot,BioREASONC-MCQ,200,0.0777920304401421
0.565,0.563154327031709,0.564574075468856,0.5634057971014492,0.5631578947368421,GPT-4.1,few-shot,PubMedQA,200,
0.405,0.0050109831166509,0.0611620775969962,0.0043626436081679,0.0083827936769113,GPT-4.1,few-shot,MedQA,200,
