Rank,Term,P-value,Z-score,Combined Score,Genes,Adjusted P-value,Gene_set,AD_genes,T2D_genes,Shared_genes,N_AD,N_T2D,N_Shared
1,MHC Class II Receptor Activity (GO:0032395),4.520319294189047e-12,656.3486842105264,17145.428127522347,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,4.5655224871309374e-10,GO_Molecular_Function_2023,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,5,5,5
1,Alzheimer's Disease,9.574182241674643e-13,41.118721461187214,1137.941540767428,ATP8B4;GRN;APH1B;SHARPIN;IDUA;PLCG2;TREM2;APOE;PICALM;JAZF1,8.051887265248375e-10,GWAS_Catalog_2023,ATP8B4;GRN;APH1B;SHARPIN;IDUA;PLCG2;TREM2;APOE;PICALM;JAZF1,JAZF1,JAZF1,10,1,1
1,PD-1 signaling,4.855615043984755e-11,129.28864864864866,3070.3856465882127,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1;HLA-DQB1,1.0002566990608596e-08,BioPlanet_2019,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1;HLA-DQB1,6,6,6
1,MHC Class II Protein Complex (GO:0042613),1.0672247637960774e-10,262.4605263157895,6026.300852065919,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,1.0672247637960773e-08,GO_Cellular_Component_2023,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,5,5,5
1,Generation Of Second Messenger Molecules R-HSA-202433,5.966687389170186e-11,124.3097713097713,2926.5309833866436,PLCG2;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,1.1575373534990161e-08,Reactome_2022,PLCG2;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,6,5,5
2,Generation of second messenger molecules,1.274396005202308e-10,107.71351351351352,2454.077757096895,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1;HLA-DQB1,1.3126278853583772e-08,BioPlanet_2019,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1;HLA-DQB1,6,6,6
2,Translocation Of ZAP-70 To Immunological Synapse R-HSA-202430,2.1922037295036425e-10,218.6951754385965,4863.987067526058,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,2.1264376176185333e-08,Reactome_2022,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,5,5,5
2,Clathrin-Coated Endocytic Vesicle (GO:0045334),5.542058197339156e-10,49.555911680911684,1056.2091794007956,HLA-DRA;APOE;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1;PICALM,2.3878645295125722e-08,GO_Cellular_Component_2023,HLA-DRA;APOE;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1;PICALM,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1,7,5,5
3,MHC Protein Complex (GO:0042611),7.163593588537716e-10,163.98848684210526,3453.0791943197,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,2.3878645295125722e-08,GO_Cellular_Component_2023,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,5,5,5
2,Peptide Antigen Assembly With MHC Class II Protein Complex (GO:0002503),7.126054022753395e-11,291.6374269005848,6814.014681558056,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,2.7435307987600572e-08,GO_Biological_Process_2023,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,5,5,5
