Rank,Term,P-value,Z-score,Combined Score,Genes,Adjusted P-value,Gene_set,AD_genes,T2D_genes,Shared_genes,N_AD,N_T2D,N_Shared
1,Alzheimer's Disease,9.574182241674643e-13,41.118721461187214,1137.941540767428,ATP8B4;GRN;APH1B;SHARPIN;IDUA;PLCG2;TREM2;APOE;PICALM;JAZF1,8.051887265248375e-10,GWAS_Catalog_2023,ATP8B4;GRN;APH1B;SHARPIN;IDUA;PLCG2;TREM2;APOE;PICALM;JAZF1,JAZF1,JAZF1,10,1,1
3,Hepatitis B,6.449301462783392e-10,682.1880341880342,14436.380706597645,BTNL2;HLA-DQA2;HLA-DQB2;HLA-DQB1,3.031171687508194e-08,Jensen_DISEASES,BTNL2;HLA-DQA2;HLA-DQB2;HLA-DQB1,BTNL2;HLA-DQA2;HLA-DQB2;HLA-DQB1,BTNL2;HLA-DQA2;HLA-DQB2;HLA-DQB1,4,4,4
1,Lymphoma,2.768257519598744e-10,1023.3333333333334,22521.14429542145,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB1,3.031171687508194e-08,Jensen_DISEASES,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB1,4,4,4
2,Systemic lupus erythematosus,4.676579157361417e-10,50.86513157894737,1092.750069267846,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1;HLA-DQB1;JAZF1,3.031171687508194e-08,Jensen_DISEASES,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1;HLA-DQB1;JAZF1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1;HLA-DQB1;JAZF1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1;HLA-DQB1;JAZF1,7,7,7
4,Type 1 diabetes mellitus,1.4557087603827975e-09,30.18209523809524,614.138420588885,HLA-DRA;BTNL2;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1;HLA-DQB1;JAZF1,5.131373380349361e-08,Jensen_DISEASES,HLA-DRA;BTNL2;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1;HLA-DQB1;JAZF1,HLA-DRA;BTNL2;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1;HLA-DQB1;JAZF1,HLA-DRA;BTNL2;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1;HLA-DQB1;JAZF1,8,8,8
5,Alopecia areata,2.0580390182095984e-09,64.56324324324325,1291.3625000115092,HLA-DRA;BTNL2;HLA-DQA2;HLA-DQB2;HLA-DQA1;HLA-DQB1,5.803670031351067e-08,Jensen_DISEASES,HLA-DRA;BTNL2;HLA-DQA2;HLA-DQB2;HLA-DQA1;HLA-DQB1,HLA-DRA;BTNL2;HLA-DQA2;HLA-DQB2;HLA-DQA1;HLA-DQB1,HLA-DRA;BTNL2;HLA-DQA2;HLA-DQB2;HLA-DQA1;HLA-DQB1,6,6,6
2,Type 2 Diabetes,3.1745833832778926e-10,11.369909322303531,248.6675861562995,CDKN2B;GIPR;ZC3H4;BTNL2;JADE2;CCND2;MTNR1B;KCNQ1;IGF2BP3;IGF2BP2;APOE;HLA-DQA2;HLA-DQB1;NEUROG3;JAZF1,1.334912312668354e-07,GWAS_Catalog_2023,GIPR;ZC3H4;BTNL2;APOE;HLA-DQA2;HLA-DQB1;JAZF1,CDKN2B;GIPR;ZC3H4;BTNL2;JADE2;CCND2;MTNR1B;KCNQ1;IGF2BP3;IGF2BP2;HLA-DQA2;HLA-DQB1;NEUROG3;JAZF1,GIPR;ZC3H4;BTNL2;HLA-DQA2;HLA-DQB1;JAZF1,7,14,6
6,Systemic scleroderma,5.887671657247697e-09,100.86538461538461,1911.4399113151069,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DQB1,1.3836028394532087e-07,Jensen_DISEASES,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DQB1,5,5,5
3,Diabetes (Standard GWA),1.1808307983278416e-09,145.75292397660817,2996.2497930861537,KCNQ1;IGF2BP2;HLA-DQA2;EML2;JAZF1,3.310262337979049e-07,GWAS_Catalog_2023,HLA-DQA2;EML2;JAZF1,KCNQ1;IGF2BP2;HLA-DQA2;EML2;JAZF1,HLA-DQA2;EML2;JAZF1,3,5,3
7,Multiple sclerosis,1.8966468269239348e-08,21.390385917400135,380.3337513478358,HLA-DRA;BTNL2;LRRC16A;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1;HLA-DQB1,3.8203886085182116e-07,Jensen_DISEASES,HLA-DRA;BTNL2;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1;HLA-DQB1,HLA-DRA;BTNL2;LRRC16A;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1;HLA-DQB1,HLA-DRA;BTNL2;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1;HLA-DQB1,7,8,7
