Rank,Term,P-value,Z-score,Combined Score,Genes,Adjusted P-value,Gene_set,AD_genes,T2D_genes,Shared_genes,N_AD,N_T2D,N_Shared
1,MHC Class II Receptor Activity (GO:0032395),4.520319294189047e-12,656.3486842105264,17145.428127522347,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,4.5655224871309374e-10,GO_Molecular_Function_2023,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,5,5,5
1,MHC Class II Protein Complex (GO:0042613),1.0672247637960774e-10,262.4605263157895,6026.300852065919,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,1.0672247637960773e-08,GO_Cellular_Component_2023,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,5,5,5
2,Clathrin-Coated Endocytic Vesicle (GO:0045334),5.542058197339156e-10,49.555911680911684,1056.2091794007956,HLA-DRA;APOE;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1;PICALM,2.3878645295125722e-08,GO_Cellular_Component_2023,HLA-DRA;APOE;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1;PICALM,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1,7,5,5
3,MHC Protein Complex (GO:0042611),7.163593588537716e-10,163.98848684210526,3453.0791943197,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,2.3878645295125722e-08,GO_Cellular_Component_2023,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,5,5,5
2,Peptide Antigen Assembly With MHC Class II Protein Complex (GO:0002503),7.126054022753395e-11,291.6374269005848,6814.014681558056,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,2.7435307987600572e-08,GO_Biological_Process_2023,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,5,5,5
1,MHC Class II Protein Complex Assembly (GO:0002399),7.126054022753395e-11,291.6374269005848,6814.014681558056,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,2.7435307987600572e-08,GO_Biological_Process_2023,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,5,5,5
4,Lumenal Side Of Endoplasmic Reticulum Membrane (GO:0098553),2.8151685427880507e-09,119.22846889952153,2347.3991521536886,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,7.037921356970127e-08,GO_Cellular_Component_2023,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,5,5,5
3,Peptide Antigen Assembly With MHC Protein Complex (GO:0002501),3.0305725396592343e-10,201.86234817813767,4424.237144341388,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,7.778469518458702e-08,GO_Biological_Process_2023,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,5,5,5
4,Immunoglobulin Production Involved In Immunoglobulin-Mediated Immune Response (GO:0002381),4.106432110238532e-10,187.43421052631578,4051.071143509398,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,7.904881812209175e-08,GO_Biological_Process_2023,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,5,5,5
2,MHC Class II Protein Complex Binding (GO:0023026),1.8585852639624547e-09,131.16447368421052,2636.8584711999583,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,9.385855583010397e-08,GO_Molecular_Function_2023,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,5,5,5
