Rank,Term,P-value,Z-score,Combined Score,Genes,Adjusted P-value,Gene_set,AD_genes,T2D_genes,Shared_genes,N_AD,N_T2D,N_Shared
1,PD-1 signaling,4.855615043984755e-11,129.28864864864866,3070.3856465882127,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1;HLA-DQB1,1.0002566990608596e-08,BioPlanet_2019,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1;HLA-DQB1,6,6,6
1,Generation Of Second Messenger Molecules R-HSA-202433,5.966687389170186e-11,124.3097713097713,2926.5309833866436,PLCG2;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,1.1575373534990161e-08,Reactome_2022,PLCG2;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,6,5,5
2,Generation of second messenger molecules,1.274396005202308e-10,107.71351351351352,2454.077757096895,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1;HLA-DQB1,1.3126278853583772e-08,BioPlanet_2019,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1;HLA-DQB1,6,6,6
2,Translocation Of ZAP-70 To Immunological Synapse R-HSA-202430,2.1922037295036425e-10,218.6951754385965,4863.987067526058,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,2.1264376176185333e-08,Reactome_2022,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,5,5,5
4,PD-1 Signaling R-HSA-389948,7.163593588537716e-10,163.98848684210526,3453.0791943197,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,3.474342890440792e-08,Reactome_2022,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,5,5,5
3,Phosphorylation Of CD3 And TCR Zeta Chains R-HSA-202427,5.466603686148285e-10,174.9298245614035,3730.7622006662746,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,3.474342890440792e-08,Reactome_2022,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1,5,5,5
3,Asthma,4.945864057514308e-09,104.90526315789474,2006.2831710991154,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1,3.396159986159825e-07,BioPlanet_2019,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1,5,5,5
4,Costimulation by the CD28 family,9.655091471878239e-09,48.87223587223587,901.975255215332,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1;HLA-DQB1,4.972372108017292e-07,BioPlanet_2019,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1;HLA-DQB1,6,6,6
1,Asthma,5.887671657247697e-09,100.86538461538461,1911.4399113151069,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1,5.946548373820174e-07,KEGG_2021_Human,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1,5,5,5
5,Allograft rejection,1.4961780385948585e-08,81.92845394736842,1476.1677825652787,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1,6.164253519010818e-07,BioPlanet_2019,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1,5,5,5
2,Allograft rejection,1.7201474354166096e-08,79.44178628389155,1420.2817631362598,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1,8.263836188442116e-07,KEGG_2021_Human,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1,5,5,5
3,Graft-versus-host disease,2.8968290670549333e-08,70.83926031294452,1229.5615771136167,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1,8.263836188442116e-07,KEGG_2021_Human,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1,5,5,5
4,Type I diabetes mellitus,3.272806411264204e-08,68.97160664819944,1188.7279095659992,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1,8.263836188442116e-07,KEGG_2021_Human,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1,5,5,5
6,Graft-versus-host disease,2.5560108199449247e-08,72.81067251461988,1272.8931399153726,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1,8.775637148477575e-07,BioPlanet_2019,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1,5,5,5
7,Type 1 diabetes mellitus,3.272806411264204e-08,68.97160664819944,1188.7279095659992,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1,9.631401724577514e-07,BioPlanet_2019,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1,5,5,5
5,Intestinal immune network for IgA production,5.775888887602694e-08,60.936352509179926,1015.6254913443141,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,1.1667295552957442e-06,KEGG_2021_Human,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,5,5,5
9,Interferon-gamma signaling pathway,5.8689953518651786e-08,35.4012474012474,589.4660739870154,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1;HLA-DQB1,1.3433478249824743e-06,BioPlanet_2019,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1;HLA-DQB1,6,6,6
8,Intestinal immune network for IgA production,5.775888887602694e-08,60.936352509179926,1015.6254913443141,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,1.3433478249824743e-06,BioPlanet_2019,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,5,5,5
6,Autoimmune thyroid disease,9.603605500319612e-08,54.57510964912281,881.8542092262969,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,1.6166069258871346e-06,KEGG_2021_Human,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,5,5,5
10,MHC class II antigen presentation,8.411639128182119e-08,33.20144887155197,540.8869412974382,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1;HLA-DQB1,1.6314051217304429e-06,BioPlanet_2019,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1;HLA-DQB1,6,6,6
11,Autoimmune thyroid disease,8.711386572347025e-08,55.73908174692049,906.0972871573292,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,1.6314051217304429e-06,BioPlanet_2019,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,5,5,5
