category,term,description,p_value,fdr,genes,gene_count
PMID,PMID:34935119,(2022) Genomics and Functional Genomics of Alzheimers Disease.,3.15e-17,1.62e-10,"IDUA,NECTIN2,APOE,APH1B,JAZF1,HLA-DRB1,ALPK2,TREM2,PICALM,HLA-DRA,SHARPIN,PLCG2,HESX1",13
Function,GO:0032395,MHC class II receptor activity,3.15e-13,1.55e-09,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",6
NetworkNeighborAL,CL:16357,MHC II,1.16e-12,5.32e-09,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",6
PMID,PMID:30617256,(2019) Genome-wide meta-analysis identifies new loci and functional pathways influencing Alzheimers disease risk.,2.51e-15,6.46e-09,"APOE,APH1B,HLA-DQA1,HLA-DRB1,ALPK2,TREM2,HLA-DQB1,HLA-DRA,HESX1",9
COMPARTMENTS,GOCC:0042613,MHC class II protein complex,3.39e-12,7.79e-09,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",6
Component,GO:0042613,MHC class II protein complex,6.28e-12,1.29e-08,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",6
Component,GO:0045334,Clathrin-coated endocytic vesicle,2.02e-11,2.06e-08,"APOE,HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,PICALM,HLA-DRA,HLA-DQB2",8
InterPro,IPR014745,"MHC class II, alpha/beta chain, N-terminal",3.39e-12,2.43e-08,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",6
COMPARTMENTS,GOCC:0045334,Clathrin-coated endocytic vesicle,2.39e-11,2.67e-08,"APOE,HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,PICALM,HLA-DRA,HLA-DQB2",8
Component,GO:0071556,Integral component of lumenal side of endoplasmic reticulum membrane,5.56e-11,2.84e-08,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",6
COMPARTMENTS,GOCC:0071556,Integral component of lumenal side of endoplasmic reticulum membrane,5.56e-11,3.2e-08,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",6
PMID,PMID:25670335,(2015) Association of Alzheimers disease GWAS loci with MRI markers of brain aging.,2.31e-14,3.97e-08,"NECTIN2,APOE,HLA-DQA1,HLA-DRB1,TREM2,HLA-DQA2,HLA-DQB1,PICALM",8
InterPro,IPR003597,Immunoglobulin C1-set,1.26e-11,4.52e-08,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,BTNL2,HLA-DQB2",7
PMID,PMID:22558147,(2012) Lack of association of type 2 diabetes susceptibility genotypes and body weight on the development of islet autoimmunity and type 1 diabetes.,3.93e-14,5.05e-08,"KCNQ1,MTNR1B,HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,IGF2BP2",7
Process,GO:0002503,Peptide antigen assembly with MHC class II protein complex,3.39e-12,5.31e-08,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",6
Component,GO:0030669,Clathrin-coated endocytic vesicle membrane,2.51e-10,7.35e-08,"APOE,HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",7
COMPARTMENTS,GOCC:0030669,Clathrin-coated endocytic vesicle membrane,2.51e-10,8.26e-08,"APOE,HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",7
DISEASES,DOID:986,Alopecia areata,1.92e-11,8.81e-08,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,BTNL2,HLA-DQB2",7
Function,GO:0023026,MHC class II protein complex binding,5.56e-11,1.37e-07,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",6
Keyword,KW-0491,MHC II,2.07e-10,1.39e-07,"HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",5
Process,GO:0019886,Antigen processing and presentation of exogenous peptide antigen via MHC class II,9.91e-11,3.11e-07,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",6
RCTM,HSA-202433,Generation of second messenger molecules,1.41e-10,3.23e-07,"HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2,PLCG2",6
PMID,PMID:31593075,(2019) Association of rosacea with inflammatory bowel disease: A MOOSE-compliant meta-analysis.,3.15e-13,3.24e-07,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,BTNL2",6
COMPARTMENTS,GOCC:0012507,ER to Golgi transport vesicle membrane,1.36e-09,3.92e-07,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",6
PMID,PMID:33005726,(2020) Exploring the genetic relationship between hearing impairment and Alzheimers disease.,5.03e-13,4.18e-07,"APOE,HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA",6
