gene_name,snp_count,best_pvalue,max_risk_score,max_combined_score,min_distance,gene_id,gene_rank
APOC2,555,2.51189e-111,0.575141021607952,0.9778972337352204,0,ENSG00000234906,1
APOC1,1240,2.51189e-111,0.575141021607952,0.9778972337352204,0,ENSG00000130208,2
CLPTM1,1210,2.51189e-111,0.575141021607952,0.9778972337352204,0,ENSG00000104853,3
CTB-129P6.11,103,2.51189e-111,0.575141021607952,0.9778972337352204,0,ENSG00000267114,4
PVRL2,1452,2.51189e-111,0.575141021607952,0.9778972337352204,0,ENSG00000130202,5
APOC4,260,2.51189e-111,0.575141021607952,0.9778972337352204,0,ENSG00000267467,6
APOC4-APOC2,260,2.51189e-111,0.575141021607952,0.9778972337352204,0,ENSG00000224916,7
TOMM40,1272,2.51189e-111,0.575141021607952,0.9778972337352204,0,ENSG00000130204,8
APOE,945,2.51189e-111,0.575141021607952,0.9778972337352204,0,ENSG00000130203,9
BCAM,1180,1.1436700000000002e-100,0.3875404467811686,0.6891003566505008,0,ENSG00000187244,10
BCL3,189,1.1436700000000002e-100,0.3875404467811686,0.6891003566505008,1301,ENSG00000069399,11
CBLC,62,1.1436700000000002e-100,0.3875404467811686,0.6891003566505008,0,ENSG00000142273,12
TREM2,39,1.394e-27,0.4155678454511333,0.6378610108965549,0,ENSG00000095970,13
TREML1,39,1.394e-27,0.4155678454511333,0.6378610108965549,7132,ENSG00000161911,14
TREML2,46,1.394e-27,0.4155678454511333,0.6378610108965549,0,ENSG00000112195,15
CYP27C1,4,5.369e-20,0.4010270621716653,0.6241047540122546,47598,ENSG00000186684,16
BIN1,203,4.053e-24,0.4010270621716653,0.6241047540122546,0,ENSG00000136717,17
ALPK2,6,3.30474e-08,0.4096576111200808,0.6119534449503451,0,ENSG00000198796,18
FAM203A,12,2.934e-12,0.3983415940666998,0.6071322386470348,34065,ENSG00000235173,19
EXOSC4,15,2.934e-12,0.3983415940666998,0.6071322386470348,8916,ENSG00000178896,20
GPAA1,90,2.934e-12,0.3983415940666998,0.6071322386470348,12880,ENSG00000197858,21
KIAA1875,12,2.934e-12,0.3983415940666998,0.6071322386470348,4022,ENSG00000179698,22
MAF1,18,2.934e-12,0.3983415940666998,0.6071322386470348,795,ENSG00000179632,23
MROH1,22,2.934e-12,0.3983415940666998,0.6071322386470348,44312,ENSG00000179832,24
CYC1,16,2.934e-12,0.3983415940666998,0.6071322386470348,1794,ENSG00000179091,25
OPLAH,25,2.934e-12,0.3983415940666998,0.6071322386470348,0,ENSG00000178814,26
SHARPIN,40,2.934e-12,0.3983415940666998,0.6071322386470348,0,ENSG00000179526,27
PLCG2,208,2.207e-12,0.3598878235590035,0.5621341574546235,0,ENSG00000197943,28
PICALM,974,9.404e-25,0.3322308604733799,0.5586292403078866,0,ENSG00000073921,29
ATP8B4,54,5.117e-10,0.3497755112803415,0.5507219812892565,0,ENSG00000104043,30
FGFRL1,35,5.036e-10,0.3416415428428426,0.5419699546926289,16381,ENSG00000127418,31
TMEM175,114,5.036e-10,0.3416415428428426,0.5419699546926289,1071,ENSG00000127419,32
DGKQ,30,5.036e-10,0.3416415428428426,0.5419699546926289,0,ENSG00000145214,33
IDUA,66,5.036e-10,0.3416415428428426,0.5419699546926289,0,ENSG00000127415,34
