gene_name,snp_count,best_pvalue,max_risk_score,max_combined_score,disease,gene_id,is_shared,shared_bonus,final_score,final_rank
APOC2,605,2.51189e-111,0.575141021607952,0.9778972337352204,AD+T2D,ENSG00000234906,True,0.1,1.0778972337352204,1
CLPTM1,1320,2.51189e-111,0.575141021607952,0.9778972337352204,AD+T2D,ENSG00000104853,True,0.1,1.0778972337352204,2
APOC1,1328,2.51189e-111,0.575141021607952,0.9778972337352204,AD+T2D,ENSG00000130208,True,0.1,1.0778972337352204,3
CTB-129P6.11,113,2.51189e-111,0.575141021607952,0.9778972337352204,AD+T2D,ENSG00000267114,True,0.1,1.0778972337352204,4
PVRL2,1518,2.51189e-111,0.575141021607952,0.9778972337352204,AD+T2D,ENSG00000130202,True,0.1,1.0778972337352204,5
APOC4,282,2.51189e-111,0.575141021607952,0.9778972337352204,AD+T2D,ENSG00000267467,True,0.1,1.0778972337352204,6
TOMM40,1338,2.51189e-111,0.575141021607952,0.9778972337352204,AD+T2D,ENSG00000130204,True,0.1,1.0778972337352204,7
APOC4-APOC2,282,2.51189e-111,0.575141021607952,0.9778972337352204,AD+T2D,ENSG00000224916,True,0.1,1.0778972337352204,8
APOE,1000,2.51189e-111,0.575141021607952,0.9778972337352204,AD+T2D,ENSG00000130203,True,0.1,1.0778972337352204,9
TCF7L2,1772,7.969999999999999e-262,0.5487190900479971,0.7982128579428758,T2D,ENSG00000148737,False,0.0,0.7982128579428758,10
CMIP,81,2.207e-12,0.403673378594131,0.6130177614711607,AD+T2D,ENSG00000153815,True,0.1,0.7130177614711607,11
MROH1,66,2.934e-12,0.3983415940666998,0.6071322386470348,AD+T2D,ENSG00000179832,True,0.1,0.7071322386470348,12
HLA-DQB1,16184,9.33254e-47,0.3837293962714807,0.5923380193014026,AD+T2D,ENSG00000179344,True,0.1,0.6923380193014026,13
HLA-DQA1,20923,9.33254e-47,0.3837293962714807,0.5923380193014026,AD+T2D,ENSG00000196735,True,0.1,0.6923380193014026,14
CBLC,62,1.1436700000000002e-100,0.3875404467811686,0.6891003566505008,AD,ENSG00000142273,False,0.0,0.6891003566505008,15
BCAM,1180,1.1436700000000002e-100,0.3875404467811686,0.6891003566505008,AD,ENSG00000187244,False,0.0,0.6891003566505008,16
BCL3,189,1.1436700000000002e-100,0.3875404467811686,0.6891003566505008,AD,ENSG00000069399,False,0.0,0.6891003566505008,17
CCND2,212,6.0214300000000004e-46,0.4467637245255599,0.6643661218000467,T2D,ENSG00000118971,False,0.0,0.6643661218000467,18
ARF5,48,2.73e-132,0.4337821481753062,0.6590740156602447,T2D,ENSG00000004059,False,0.0,0.6590740156602447,19
SND1,112,2.73e-132,0.4337821481753062,0.6590740156602447,T2D,ENSG00000197157,False,0.0,0.6590740156602447,20
FSCN3,48,2.73e-132,0.4337821481753062,0.6590740156602447,T2D,ENSG00000106328,False,0.0,0.6590740156602447,21
GCC1,24,2.73e-132,0.4337821481753062,0.6590740156602447,T2D,ENSG00000179562,False,0.0,0.6590740156602447,22
PAX4,32,2.73e-132,0.4337821481753062,0.6590740156602447,T2D,ENSG00000106331,False,0.0,0.6590740156602447,23
NEUROG3,48,7.74283e-50,0.4406622279803975,0.6580561070347297,T2D,ENSG00000122859,False,0.0,0.6580561070347297,24
TSPAN15,368,7.74283e-50,0.4406622279803975,0.6580561070347297,T2D,ENSG00000099282,False,0.0,0.6580561070347297,25
FGF23,6,1.10002e-47,0.4272512472601577,0.6430715864616483,T2D,ENSG00000118972,False,0.0,0.6430715864616483,26
