gene,gene_id,chromosome,gene_length,is_multi_disease,num_diseases,diseases,max_score,mean_score,weighted_score,top_disease,shared_snp_count,total_snp_count,AD_score,AD_score_raw,AD_snps,T2D_score,T2D_score_raw,T2D_snps
ABCA1,,9,10000,False,1,AD,0.620459,0.620459,0.620459,AD,0,2,0.620459,0.620459,2,0,0,0
ABCA2,,9,10000,False,1,T2D,0.483465,0.483465,0.483465,T2D,0,8,0,0,0,0.483465,0.483465,8
ABCA7,,19,10000,False,1,AD,0.654741,0.654741,0.654741,AD,0,9,0.654741,0.654741,9,0,0,0
ABCB10,,1,10000,False,1,T2D,0.662709,0.662709,0.662709,T2D,0,3,0,0,0,0.662709,0.662709,3
ABCB9,,12,10000,False,1,T2D,0.48642,0.48642,0.48642,T2D,0,1,0,0,0,0.48642,0.48642,1
ABCC8,,11,10000,False,1,T2D,0.660063,0.660063,0.660063,T2D,0,10,0,0,0,0.660063,0.660063,10
ABCF1,,6,10000,False,1,T2D,0.57583,0.57583,0.57583,T2D,0,1,0,0,0,0.57583,0.57583,1
ABHD16A,,6,10000,False,1,T2D,0.629253,0.629253,0.629253,T2D,0,5,0,0,0,0.629253,0.629253,5
ABI3,,17,10000,False,1,AD,0.696586,0.696586,0.696586,AD,0,1,0.696586,0.696586,1,0,0,0
AC005779.2,,19,10000,False,1,AD,0.640498,0.640498,0.640498,AD,0,6,0.640498,0.640498,6,0,0,0
AC006126.3,,19,10000,False,1,AD,0.631363,0.631363,0.631363,AD,0,20,0.631363,0.631363,20,0,0,0
AC010336.1,,19,10000,False,1,T2D,0.678731,0.678731,0.678731,T2D,0,6,0,0,0,0.678731,0.678731,6
AC011484.1,,19,10000,False,1,AD,0.609192,0.609192,0.609192,AD,0,1,0.609192,0.609192,1,0,0,0
AC011530.4,,19,10000,False,1,AD,0.745273,0.745273,0.745273,AD,0,2,0.745273,0.745273,2,0,0,0
AC011551.3,,19,10000,False,1,AD,0.600778,0.600778,0.600778,AD,0,2,0.600778,0.600778,2,0,0,0
AC022431.2,,5,10000,False,1,T2D,0.601608,0.601608,0.601608,T2D,0,27,0,0,0,0.601608,0.601608,27
AC024940.1,,12,10000,False,1,T2D,0.692091,0.692091,0.692091,T2D,0,2,0,0,0,0.692091,0.692091,2
AC074212.3,,19,10000,False,1,AD,0.700827,0.700827,0.700827,AD,0,3,0.700827,0.700827,3,0,0,0
AC079602.1,,12,10000,False,1,T2D,0.67304,0.67304,0.67304,T2D,0,7,0,0,0,0.67304,0.67304,7
AC109583.1,,3,10000,False,1,T2D,0.545359,0.545359,0.545359,T2D,0,1,0,0,0,0.545359,0.545359,1
AC109829.1,,2,10000,False,1,T2D,0.707183,0.707183,0.707183,T2D,0,10,0,0,0,0.707183,0.707183,10
