snp_id,clinvar_id,clinical_significance,review_status,conditions,variation_type
rs17747324,,not_in_clinvar,,,
rs12255372,7414,,,,
rs55853916,,not_in_clinvar,,,
rs35011184,,not_in_clinvar,,,
rs4267006,,not_in_clinvar,,,
rs55899248,,not_in_clinvar,,,
rs55972445,,not_in_clinvar,,,
rs7903146,1692994,,,,
rs72826075,,not_in_clinvar,,,
rs112108223,,not_in_clinvar,,,
rs2233580,129875,,,,
rs537982442,,not_in_clinvar,,,
rs547324263,,not_in_clinvar,,,
rs76895963,,not_in_clinvar,,,
rs117361510,,not_in_clinvar,,,
rs11196234,,not_in_clinvar,,,
rs369319448,,not_in_clinvar,,,
rs12437434,2804142,,,,
rs74565893,,not_in_clinvar,,,
rs56299331,,not_in_clinvar,,,
rs183623967,,not_in_clinvar,,,
rs4077129,1247424,,,,
rs17772814,,not_in_clinvar,,,
rs2925979,,not_in_clinvar,,,
rs149881554,,not_in_clinvar,,,
rs35198068,,not_in_clinvar,,,
rs184617462,,not_in_clinvar,,,
rs12454712,,not_in_clinvar,,,
rs3217905,,not_in_clinvar,,,
rs11062955,,not_in_clinvar,,,
rs41277236,129764,,,,
rs34872471,,not_in_clinvar,,,
rs12534523,,not_in_clinvar,,,
rs6416749,,not_in_clinvar,,,
rs10974438,,not_in_clinvar,,,
rs738409,1247925,,,,
rs61872786,,not_in_clinvar,,,
rs3844313,,not_in_clinvar,,,
rs113154802,1279574,,,,
rs33973288,,not_in_clinvar,,,
rs116500286,,not_in_clinvar,,,
rs4237150,,not_in_clinvar,,,
rs45551238,1269045,,,,
rs13133548,,not_in_clinvar,,,
rs112284889,,not_in_clinvar,,,
rs527807612,,not_in_clinvar,,,
rs345367,,not_in_clinvar,,,
rs2546095,,not_in_clinvar,,,
rs9469219,,not_in_clinvar,,,
rs2798253,,not_in_clinvar,,,
rs4880106,,not_in_clinvar,,,
rs10965241,,not_in_clinvar,,,
rs10824307,,not_in_clinvar,,,
rs10278,,not_in_clinvar,,,
rs73347525,,not_in_clinvar,,,
rs10830963,,not_in_clinvar,,,
rs12299509,,not_in_clinvar,,,
rs11708719,,not_in_clinvar,,,
rs753270,,not_in_clinvar,,,
rs9379084,1297809,,,,
rs7304270,,not_in_clinvar,,,
rs3824004,3671870,,,,
rs751151298,,not_in_clinvar,,,
rs146886108,351544,,,,
rs7572970,,not_in_clinvar,,,
rs78470967,,not_in_clinvar,,,
rs1889086,,not_in_clinvar,,,
rs7561798,,not_in_clinvar,,,
rs142204888,,not_in_clinvar,,,
rs2796441,,not_in_clinvar,,,
rs2250982,,not_in_clinvar,,,
rs200513066,,not_in_clinvar,,,
rs140499267,,not_in_clinvar,,,
rs887609,,not_in_clinvar,,,
rs139448797,,not_in_clinvar,,,
rs3218115,,not_in_clinvar,,,
rs563023122,,not_in_clinvar,,,
rs34132828,,not_in_clinvar,,,
rs4506565,,not_in_clinvar,,,
rs112301086,,not_in_clinvar,,,
rs376263717,,not_in_clinvar,,,
rs554186429,,not_in_clinvar,,,
rs34815046,,not_in_clinvar,,,
rs540205414,,not_in_clinvar,,,
rs191754123,,not_in_clinvar,,,
rs3799705,,not_in_clinvar,,,
rs7901695,,not_in_clinvar,,,
rs183607257,,not_in_clinvar,,,
rs12712928,,not_in_clinvar,,,
rs543202215,,not_in_clinvar,,,
rs184216160,,not_in_clinvar,,,
rs12420590,,not_in_clinvar,,,
rs12945601,,not_in_clinvar,,,
rs34713115,,not_in_clinvar,,,
rs4812831,,not_in_clinvar,,,
rs760450563,,not_in_clinvar,,,
rs10659211,,not_in_clinvar,,,
rs7079711,,not_in_clinvar,,,
rs3757787,,not_in_clinvar,,,
rs202147236,,not_in_clinvar,,,
