gene_name,gene_id,max_score,avg_score,sum_score,snp_count,min_p,n_sig,top_snps,support,GRASS_score,rank,rank_max,disease
PAX4,ENSG00000106331,0.7196848895446182,0.4523742981810794,2.261871490905397,5,2.73e-132,5,"rs2233580,rs3824004,rs12669223,rs3757787,rs61160304",0.35392115259844265,0.7494477236395567,1,1,T2D
TCF7L2,ENSG00000148737,0.6743156098662709,0.42003375733641063,1.6801350293456425,4,2.62e-263,4,"rs7903146,rs7079711,rs35011184,rs7918599",0.3179076939661524,0.7053768818947269,2,2,T2D
KCNQ1,ENSG00000053918,0.6228252572026766,0.1679380244479093,4.198450611197733,25,3.821e-28,25,"rs116500286,rs2283164,rs463924,rs35723063,rs231840",0.643562543866646,0.6956459182897445,3,3,T2D
COBLL1,ENSG00000082438,0.6132404226530549,0.11096206345599255,1.8863550787518732,17,1.684e-15,17,"rs7607980,rs10179126,rs3769873,rs41357247,rs10193724",0.5709269137744931,0.6794838582132805,4,8,T2D
PPARG,ENSG00000132170,0.6168284422461479,0.14859561712763394,1.4859561712763394,10,1.008e-16,10,"rs1801282,rs35408322,rs17036342,rs4135250,rs35000407",0.4736494341647251,0.6712751397015864,5,7,T2D
SLC22A18,ENSG00000110628,0.6228252572026766,0.2643128729059755,1.057251491623902,4,9.84e-27,4,"rs116500286,rs35723063,rs34495402,rs12577753",0.3179076939661524,0.6587972830141687,6,3,T2D
SLC22A18AS,ENSG00000254827,0.6228252572026766,0.2643128729059755,1.057251491623902,4,9.84e-27,4,"rs116500286,rs35723063,rs34495402,rs12577753",0.3179076939661524,0.6587972830141687,6,3,T2D
CDKN1C,ENSG00000129757,0.6228252572026766,0.2643128729059755,1.057251491623902,4,9.84e-27,4,"rs116500286,rs35723063,rs34495402,rs12577753",0.3179076939661524,0.6587972830141687,6,3,T2D
WFS1,ENSG00000109501,0.5733649856118721,0.09676717585829796,2.419179396457449,25,6.68e-20,25,"rs1801212,rs4689388,rs1801206,rs1801214,rs881796",0.643562543866646,0.655734880160534,9,9,T2D
GRB14,ENSG00000115290,0.5148637065093532,0.10836208855534,2.7090522138835,25,1.158e-15,25,"rs75536691,rs72874858,rs192460493,rs146779352,rs117861423",0.643562543866646,0.6085283706576161,10,15,T2D
ADCY5,ENSG00000173175,0.556925726484073,0.14417854501771304,0.7208927250885652,5,1.026e-20,5,"rs11708067,rs2332541,rs201010648,rs73856630,rs2046487",0.35392115259844265,0.6039697337549154,11,10,T2D
