Dataset,Model,Approach,Question,Model_Answer,Ground_Truth,EM,F1,Accuracy,Success,Precision,Recall,Hits@1,Hits@5,Hits@10,MRR,BLEU,ROUGE-1,ROUGE-L,Semantic_Sim,Latency_ms,Input_Tokens,Output_Tokens,Total_Tokens,LLM_Calls,Confidence,Abstention,Type,Error
BioKGBench,GPT-4o-mini,Direct (No KG),What proteins does the protein P11310 interact with?,,"{'p11310', 'acadm'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1269.733667,39,21,60,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),Could you please specify which proteins the protein P30153 interacts with?,,"{'q96l34', 'mark4'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1035.209656,42,29,71,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),Can you identify proteins that the protein P63261 show interaction with?,,"{'grb2', 'p62993'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1541.347742,42,20,62,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),"I'm curious, which proteins does the protein Q9BZC7 interact with?",,"{'q96sn8', 'cdk5rap2'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1045.957088,44,29,73,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),Do you know what proteins does the protein Q9Y3L3 interact with?,,"{'p08631', 'hck'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1009.053707,45,34,79,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),What proteins does the protein Q9NRA8 interact with?,,"{'p06730', 'q14974', 'p55060', 'eif4e', 'kpnb1', 'cse1l'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,887.1407509,41,25,66,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),Could you please specify which proteins the protein Q9H013 interacts with?,,"{'esf1', 'abi2', 'ubc', 'q9nyb9', 'p0cg48', 'q9h501'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,956.7739964,43,24,67,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),Can you identify proteins that the protein P68032 show interaction with?,,"{'grb2', 'p62993'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,994.0619469,42,29,71,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),"I'm curious, which proteins does the protein P78536 interact with?",,"{'mad2l1', 'q13257'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,912.1751785,42,26,68,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),Do you know what proteins does the protein P01011 interact with?,,"{'q96kc8', 'dnajc1'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1208.981752,42,33,75,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),What proteins does the protein Q13541 interact with?,,"{'p06730', 'eif4e', 'eif4e2', 'o60573'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,963.5763168,39,27,66,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),Could you please specify which proteins the protein P78314 interacts with?,,"{'ywhaq', 'p27348'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,890.2657032,42,20,62,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),Can you identify proteins that the protein O60516 show interaction with?,,"{'p06730', 'eif4e'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,981.4679623,42,29,71,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),"I'm curious, which proteins does the protein Q7L8J4 interact with?",,"{'p61981', 'ywhag'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1216.235399,45,50,95,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),Do you know what proteins does the protein Q9NY61 interact with?,,"{'rbbp8', 'p52435', 'p10636', 'polr2j', 'mapt', 'p08047', 'sp1', 'q99708'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,855.7343483,43,34,77,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),What proteins does the protein P35609 interact with?,,"{'p22459', 'kcna4', 'p22460', 'myoz1', 'lrp12', 'kcna5', 'q9np98', 'q9y561'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,809.6411228,39,25,64,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),What is the molecular function of the protein translated from the gene RND3?,,"{'gtp binding', 'gtpase activity', 'protein kinase binding', 'protein binding'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,810.0762367,44,21,65,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),What is the molecular function of the protein translated from the gene EOLA1?,,{'protein binding'},0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,719.6838856,44,17,61,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),What is the molecular function of the protein translated from the gene CSMD1?,,{'protein binding'},0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1066.735983,44,22,66,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),What is the molecular function of the protein translated from the gene GOLT1A?,,"{'molecular_function', 'protein binding'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1177.72913,45,27,72,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),What is the molecular function of the protein translated from the gene SIPA1L3?,,"{'gtpase activator activity', 'protein binding'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1208.161116,46,33,79,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),What is the molecular function of the protein translated from the gene LRRC73?,,{'protein binding'},0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,874.0947247,44,26,70,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),What is the molecular function of the protein translated from the gene MTO1?,,"{'rna binding', 'flavin adenine dinucleotide binding'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,620.549202,44,9,53,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),What is the molecular function of the protein translated from the gene CXCL3?,,"{'cxcr chemokine receptor binding', 'chemokine activity'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,641.9775486,44,5,49,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),What is the molecular function of the protein translated from the gene FBXL6?,,{'ubiquitin-protein transferase activity'},0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1049.214125,44,22,66,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),What is the molecular function of the protein translated from the gene CPD?,,"{'metallocarboxypeptidase activity', 'serine-type carboxypeptidase activity', 'zinc ion binding'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1086.155415,43,28,71,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),What is the molecular function of the protein translated from the gene ZNF552?,,"{'dna-binding transcription factor activity rna polymerase ii-specific', 'rna polymerase ii cis-regulatory region sequence-specific dna binding', 'protein binding', 'metal ion binding'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,779.7574997,44,17,61,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),What is the molecular function of the protein translated from the gene ERBIN?,,"{'signaling receptor binding', 'erbb-2 class receptor binding', 'structural constituent of cytoskeleton', 'protein binding'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1134.912968,43,33,76,1,0.5,0,N/A,
BioKGBench,GPT-4o-mini,Direct (No KG),What is the molecular function of the protein translated from the gene STAG1?,,"{'chromatin binding', 'protein binding'}",0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1029.588223,44,33,77,1,0.5,0,N/A,
