gene_name,snp_count,best_pvalue,max_risk_score,max_combined_score,min_distance,gene_id,gene_rank,ensembl_id,biotype,description,uniprot_ids,omim_ids,hgnc_id,entrez_id
APOC2,555,2.51189e-111,0.575141021607952,0.9778972337352204,0,ENSG00000234906,1,ENSG00000234906,protein_coding,apolipoprotein C-II [Source:HGNC Symbol;Acc:609],APOC2,608083,609,344
APOC1,1240,2.51189e-111,0.575141021607952,0.9778972337352204,0,ENSG00000130208,2,ENSG00000130208,protein_coding,apolipoprotein C-I [Source:HGNC Symbol;Acc:607],APOC1,107710,607,341
CLPTM1,1210,2.51189e-111,0.575141021607952,0.9778972337352204,0,ENSG00000104853,3,ENSG00000104853,protein_coding,cleft lip and palate associated transmembrane protein 1 [Source:HGNC Symbol;Acc:2087],CLPTM1,604783,2087,1209
CTB-129P6.11,103,2.51189e-111,0.575141021607952,0.9778972337352204,0,ENSG00000267114,4,ENSG00000267114,protein_coding,Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:K7EM12],,,,
PVRL2,1452,2.51189e-111,0.575141021607952,0.9778972337352204,0,ENSG00000130202,5,ENSG00000130202,protein_coding,poliovirus receptor-related 2 (herpesvirus entry mediator B) [Source:HGNC Symbol;Acc:9707],PVRL2,600798,9707,5819
APOC4,260,2.51189e-111,0.575141021607952,0.9778972337352204,0,ENSG00000267467,6,ENSG00000267467,protein_coding,apolipoprotein C-IV [Source:HGNC Symbol;Acc:611],APOC4,600745,611,346
APOC4-APOC2,260,2.51189e-111,0.575141021607952,0.9778972337352204,0,ENSG00000224916,7,ENSG00000224916,protein_coding,APOC4-APOC2 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:44426],"APOC4,APOC2","608083,600745",44426,344
TOMM40,1272,2.51189e-111,0.575141021607952,0.9778972337352204,0,ENSG00000130204,8,ENSG00000130204,protein_coding,translocase of outer mitochondrial membrane 40 homolog (yeast) [Source:HGNC Symbol;Acc:18001],TOMM40,608061,18001,10452
APOE,945,2.51189e-111,0.575141021607952,0.9778972337352204,0,ENSG00000130203,9,ENSG00000130203,protein_coding,apolipoprotein E [Source:HGNC Symbol;Acc:613],APOE,107741,613,348
BCAM,1180,1.1436700000000002e-100,0.3875404467811686,0.6891003566505008,0,ENSG00000187244,10,ENSG00000187244,protein_coding,basal cell adhesion molecule (Lutheran blood group) [Source:HGNC Symbol;Acc:6722],BCAM,612773,6722,4059
BCL3,189,1.1436700000000002e-100,0.3875404467811686,0.6891003566505008,1301,ENSG00000069399,11,ENSG00000069399,protein_coding,B-cell CLL/lymphoma 3 [Source:HGNC Symbol;Acc:998],BCL3,109560,998,602
CBLC,62,1.1436700000000002e-100,0.3875404467811686,0.6891003566505008,0,ENSG00000142273,12,ENSG00000142273,protein_coding,"Cbl proto-oncogene C, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:15961]",CBLC,608453,15961,23624
TREM2,39,1.394e-27,0.4155678454511333,0.6378610108965549,0,ENSG00000095970,13,ENSG00000095970,protein_coding,triggering receptor expressed on myeloid cells 2 [Source:HGNC Symbol;Acc:17761],TREM2,605086,17761,54209
