ensembl_id,biotype,description,chromosome,start,end,strand,source,gene_name,uniprot_ids,omim_ids,hgnc_id,entrez_id
ENSG00000148737,protein_coding,"transcription factor 7-like 2 (T-cell specific, HMG-box) [Source:HGNC Symbol;Acc:11641]",10,114710009,114927437,1,Ensembl_GRCh37,TCF7L2,TCF7L2,602228,11641,6934
ENSG00000118971,protein_coding,cyclin D2 [Source:HGNC Symbol;Acc:1583],12,4382938,4414516,1,Ensembl_GRCh37,CCND2,CCND2,123833,1583,894
ENSG00000106328,protein_coding,"fascin homolog 3, actin-bundling protein, testicular (Strongylocentrotus purpuratus) [Source:HGNC Symbol;Acc:3961]",7,127231463,127242198,1,Ensembl_GRCh37,FSCN3,FSCN3,,3961,29999
ENSG00000106331,protein_coding,paired box 4 [Source:HGNC Symbol;Acc:8618],7,127250346,127255982,-1,Ensembl_GRCh37,PAX4,PAX4,167413,8618,5078
ENSG00000197157,protein_coding,staphylococcal nuclease and tudor domain containing 1 [Source:HGNC Symbol;Acc:30646],7,127292234,127732661,1,Ensembl_GRCh37,SND1,SND1,602181,30646,27044
ENSG00000179562,protein_coding,GRIP and coiled-coil domain containing 1 [Source:HGNC Symbol;Acc:19095],7,127220672,127233665,-1,Ensembl_GRCh37,GCC1,GCC1,607418,19095,79571
ENSG00000004059,protein_coding,ADP-ribosylation factor 5 [Source:HGNC Symbol;Acc:658],7,127228399,127231759,1,Ensembl_GRCh37,ARF5,ARF5,103188,658,381
ENSG00000122859,protein_coding,neurogenin 3 [Source:HGNC Symbol;Acc:13806],10,71331454,71332994,-1,Ensembl_GRCh37,NEUROG3,NEUROG3,604882,13806,50674
ENSG00000099282,protein_coding,tetraspanin 15 [Source:HGNC Symbol;Acc:23298],10,71211229,71267425,1,Ensembl_GRCh37,TSPAN15,TSPAN15,613140,23298,23555
ENSG00000078237,protein_coding,chromosome 12 open reading frame 5 [Source:HGNC Symbol;Acc:1185],12,4430371,4462338,1,Ensembl_GRCh37,C12orf5,TIGAR,610775,1185,57103
ENSG00000118972,protein_coding,fibroblast growth factor 23 [Source:HGNC Symbol;Acc:3680],12,4477393,4488894,-1,Ensembl_GRCh37,FGF23,FGF23,605380,3680,8074
ENSG00000132823,protein_coding,oxidative stress responsive serine-rich 1 [Source:HGNC Symbol;Acc:16105],20,42825136,42839431,-1,Ensembl_GRCh37,OSER1,OSER1,,16105,51526
ENSG00000149596,protein_coding,junctophilin 2 [Source:HGNC Symbol;Acc:14202],20,42740335,42816218,-1,Ensembl_GRCh37,JPH2,JPH2,605267,14202,57158
ENSG00000186635,protein_coding,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:16925]",11,72396114,72504644,-1,Ensembl_GRCh37,ARAP1,ARAP1,606646,16925,116985
ENSG00000214530,protein_coding,StAR-related lipid transfer (START) domain containing 10 [Source:HGNC Symbol;Acc:10666],11,72465774,72504726,-1,Ensembl_GRCh37,STARD10,STARD10,,10666,10809
ENSG00000168010,protein_coding,autophagy related 16-like 2 (S. cerevisiae) [Source:HGNC Symbol;Acc:25464],11,72525353,72554719,1,Ensembl_GRCh37,ATG16L2,ATG16L2,,25464,89849
ENSG00000100445,protein_coding,"short chain dehydrogenase/reductase family 39U, member 1 [Source:HGNC Symbol;Acc:20275]",14,24908972,24912111,-1,Ensembl_GRCh37,SDR39U1,SDR39U1,,20275,56948
ENSG00000100968,protein_coding,"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4 [Source:HGNC Symbol;Acc:7778]",14,24834879,24848810,1,Ensembl_GRCh37,NFATC4,NFATC4,602699,7778,4776
ENSG00000100441,protein_coding,KH and NYN domain containing [Source:HGNC Symbol;Acc:20166],14,24898492,24910540,1,Ensembl_GRCh37,KHNYN,KHNYN,,20166,23351
ENSG00000139899,protein_coding,cerebellin 3 precursor [Source:HGNC Symbol;Acc:20146],14,24895738,24900160,-1,Ensembl_GRCh37,CBLN3,CBLN3,612978,20146,643866
ENSG00000205978,protein_coding,NYN domain and retroviral integrase containing [Source:HGNC Symbol;Acc:20165],14,24867992,24888494,1,Ensembl_GRCh37,NYNRIN,NYNRIN,,20165,57523
ENSG00000053918,protein_coding,"potassium voltage-gated channel, KQT-like subfamily, member 1 [Source:HGNC Symbol;Acc:6294]",11,2465914,2870339,1,Ensembl_GRCh37,KCNQ1,KCNQ1,607542,6294,3784
ENSG00000124191,protein_coding,TOX high mobility group box family member 2 [Source:HGNC Symbol;Acc:16095],20,42543504,42698256,1,Ensembl_GRCh37,TOX2,TOX2,611163,16095,84969
ENSG00000182858,protein_coding,"ALG12, alpha-1,6-mannosyltransferase [Source:HGNC Symbol;Acc:19358]",22,50293877,50312106,-1,Ensembl_GRCh37,ALG12,ALG12,607144,19358,79087
ENSG00000184164,protein_coding,cysteine-rich with EGF-like domains 2 [Source:HGNC Symbol;Acc:28150],22,50311815,50321188,1,Ensembl_GRCh37,CRELD2,CRELD2,607171,28150,79174
ENSG00000198355,protein_coding,pim-3 oncogene [Source:HGNC Symbol;Acc:19310],22,50354161,50357728,1,Ensembl_GRCh37,PIM3,PIM3,610580,19310,415116
