rsid,chr,pos,pvalue,gene,gene_id,distance_to_gene,gene_position,grass_score,grass_confidence
rs17747324,10,114752503,1.35e-253,TCF7L2,ENSG00000148737,0,intronic,,
rs12255372,10,114808902,7.969999999999999e-262,TCF7L2,ENSG00000148737,0,intronic,,
rs55853916,10,114781950,2.33e-227,TCF7L2,ENSG00000148737,0,intronic,,
rs35011184,10,114749734,2.98e-221,TCF7L2,ENSG00000148737,0,intronic,,
rs4267006,10,114758779,1.56e-230,TCF7L2,ENSG00000148737,0,intronic,,
rs55899248,10,114773608,4.48e-227,TCF7L2,ENSG00000148737,0,intronic,,
rs55972445,10,114782790,7.23e-227,TCF7L2,ENSG00000148737,0,intronic,,
rs7903146,10,114758349,1.25893e-153,TCF7L2,ENSG00000148737,0,intronic,,
rs72826075,10,114750500,9.26e-222,TCF7L2,ENSG00000148737,0,intronic,,
rs537982442,10,71314706,7.74283e-50,NEUROG3,ENSG00000122859,16748,upstream,,
rs11196234,10,114874406,2.2444e-12,TCF7L2,ENSG00000148737,0,intronic,,
rs56299331,10,114788436,1.61e-194,TCF7L2,ENSG00000148737,0,intronic,,
rs35198068,10,114754784,3.98107e-155,TCF7L2,ENSG00000148737,0,intronic,,
rs41277236,10,71332301,2.8e-09,NEUROG3,ENSG00000122859,0,intronic,,
rs34872471,10,114754071,1.58489e-155,TCF7L2,ENSG00000148737,0,intronic,,
rs61872786,10,114806697,8.59e-184,TCF7L2,ENSG00000148737,0,intronic,,
rs112284889,10,94369056,7.667000000000001e-63,KIF11,ENSG00000138160,0,intronic,,
rs2798253,10,94202905,9.5e-20,IDE,ENSG00000119912,8536,upstream,,
rs753270,10,80964975,2.702e-11,ZMIZ1,ENSG00000108175,0,intronic,,
rs4506565,10,114756041,7.94328e-135,TCF7L2,ENSG00000148737,0,intronic,,
rs112301086,10,114853307,2.51623e-08,TCF7L2,ENSG00000148737,0,intronic,,
rs191754123,10,70165740,6.17874e-12,RUFY2,ENSG00000204130,0,intronic,,
rs191754123,10,70165740,6.17874e-12,DNA2,ENSG00000138346,8081,upstream,,
rs7901695,10,114754088,6.30957e-136,TCF7L2,ENSG00000148737,0,intronic,,
rs10659211,10,114782581,6.30957e-140,TCF7L2,ENSG00000148737,0,intronic,,
rs7079711,10,114745788,8e-22,TCF7L2,ENSG00000148737,0,intronic,,
rs7074440,10,114785424,6.309569999999999e-138,TCF7L2,ENSG00000148737,0,intronic,,
rs36090025,10,114774433,3.16228e-137,TCF7L2,ENSG00000148737,0,intronic,,
rs4132670,10,114767771,1.9952600000000003e-126,TCF7L2,ENSG00000148737,0,intronic,,
rs4575195,10,114765747,6.30957e-127,TCF7L2,ENSG00000148737,0,intronic,,
rs765035934,10,71043929,2.30038e-15,HKDC1,ENSG00000156510,16614,downstream,,
rs765035934,10,71043929,2.30038e-15,HK1,ENSG00000156515,0,intronic,,
rs12769661,10,71335802,3.92211e-09,NEUROG3,ENSG00000122859,2808,downstream,,
rs142511108,10,114735931,7.57182e-22,TCF7L2,ENSG00000148737,0,intronic,,
rs35676242,10,114757314,1.893e-13,TCF7L2,ENSG00000148737,0,intronic,,
rs564533814,10,125779977,4.64538e-08,CHST15,ENSG00000182022,0,intronic,,
rs12266632,10,114764959,5.044e-39,TCF7L2,ENSG00000148737,0,intronic,,
rs7071302,10,114817527,2.3e-38,TCF7L2,ENSG00000148737,0,intronic,,
rs61875104,10,114721635,2.76395e-09,TCF7L2,ENSG00000148737,0,intronic,,
rs11319879,10,94453475,8.178e-70,HHEX,ENSG00000152804,0,intronic,,
rs11257655,10,12307894,2.34423e-11,CDC123,ENSG00000151465,15306,downstream,,
rs2792022,10,93740429,2.47571e-11,BTAF1,ENSG00000095564,0,intronic,,
rs12571751,10,80942631,5.62341e-14,ZMIZ1,ENSG00000108175,0,intronic,,
rs7911264,10,94436851,2.0500000000000002e-70,HHEX,ENSG00000152804,11094,upstream,,
rs35978445,10,94424422,8.231000000000001e-70,KIF11,ENSG00000138160,9272,downstream,,
