gene_name,snp_count,best_pvalue,max_risk_score,max_combined_score,min_distance,gene_id,gene_rank,ensembl_id,biotype,description,uniprot_ids,omim_ids,hgnc_id,entrez_id
TCF7L2,1772,7.969999999999999e-262,0.5487190900479971,0.7982128579428758,0,ENSG00000148737,1,ENSG00000148737,protein_coding,"transcription factor 7-like 2 (T-cell specific, HMG-box) [Source:HGNC Symbol;Acc:11641]",TCF7L2,602228,11641,6934
CCND2,212,6.0214300000000004e-46,0.4467637245255599,0.6643661218000467,0,ENSG00000118971,2,ENSG00000118971,protein_coding,cyclin D2 [Source:HGNC Symbol;Acc:1583],CCND2,123833,1583,894
FSCN3,48,2.73e-132,0.4337821481753062,0.6590740156602447,0,ENSG00000106328,3,ENSG00000106328,protein_coding,"fascin homolog 3, actin-bundling protein, testicular (Strongylocentrotus purpuratus) [Source:HGNC Symbol;Acc:3961]",FSCN3,,3961,29999
PAX4,32,2.73e-132,0.4337821481753062,0.6590740156602447,0,ENSG00000106331,4,ENSG00000106331,protein_coding,paired box 4 [Source:HGNC Symbol;Acc:8618],PAX4,167413,8618,5078
SND1,112,2.73e-132,0.4337821481753062,0.6590740156602447,0,ENSG00000197157,5,ENSG00000197157,protein_coding,staphylococcal nuclease and tudor domain containing 1 [Source:HGNC Symbol;Acc:30646],SND1,602181,30646,27044
GCC1,24,2.73e-132,0.4337821481753062,0.6590740156602447,450,ENSG00000179562,6,ENSG00000179562,protein_coding,GRIP and coiled-coil domain containing 1 [Source:HGNC Symbol;Acc:19095],GCC1,607418,19095,79571
ARF5,48,2.73e-132,0.4337821481753062,0.6590740156602447,2356,ENSG00000004059,7,ENSG00000004059,protein_coding,ADP-ribosylation factor 5 [Source:HGNC Symbol;Acc:658],ARF5,103188,658,381
NEUROG3,48,7.74283e-50,0.4406622279803975,0.6580561070347297,0,ENSG00000122859,8,ENSG00000122859,protein_coding,neurogenin 3 [Source:HGNC Symbol;Acc:13806],NEUROG3,604882,13806,50674
TSPAN15,368,7.74283e-50,0.4406622279803975,0.6580561070347297,2539,ENSG00000099282,9,ENSG00000099282,protein_coding,tetraspanin 15 [Source:HGNC Symbol;Acc:23298],TSPAN15,613140,23298,23555
C12orf5,57,1.10002e-47,0.4272512472601577,0.6430715864616483,0,ENSG00000078237,10,ENSG00000078237,protein_coding,chromosome 12 open reading frame 5 [Source:HGNC Symbol;Acc:1185],TIGAR,610775,1185,57103
FGF23,6,1.10002e-47,0.4272512472601577,0.6430715864616483,1021,ENSG00000118972,11,ENSG00000118972,protein_coding,fibroblast growth factor 23 [Source:HGNC Symbol;Acc:3680],FGF23,605380,3680,8074
OSER1,12,1.4941700000000001e-53,0.4204258861930355,0.6361707658804587,30,ENSG00000132823,12,ENSG00000132823,protein_coding,oxidative stress responsive serine-rich 1 [Source:HGNC Symbol;Acc:16105],OSER1,,16105,51526
JPH2,14,1.4941700000000001e-53,0.4204258861930355,0.6361707658804587,0,ENSG00000149596,13,ENSG00000149596,protein_coding,junctophilin 2 [Source:HGNC Symbol;Acc:14202],JPH2,605267,14202,57158
ARAP1,580,8.947e-21,0.4207680865105483,0.6323336294960602,0,ENSG00000186635,14,ENSG00000186635,protein_coding,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:16925]",ARAP1,606646,16925,116985
STARD10,522,8.947e-21,0.4207680865105483,0.6323336294960602,0,ENSG00000214530,15,ENSG00000214530,protein_coding,StAR-related lipid transfer (START) domain containing 10 [Source:HGNC Symbol;Acc:10666],STARD10,,10666,10809
ATG16L2,133,4.16965e-13,0.4207680865105483,0.6323336294960602,13832,ENSG00000168010,16,ENSG00000168010,protein_coding,autophagy related 16-like 2 (S. cerevisiae) [Source:HGNC Symbol;Acc:25464],ATG16L2,,25464,89849
SDR39U1,19,1.017e-09,0.4173371580941545,0.6282046218829621,30602,ENSG00000100445,17,ENSG00000100445,protein_coding,"short chain dehydrogenase/reductase family 39U, member 1 [Source:HGNC Symbol;Acc:20275]",SDR39U1,,20275,56948
NFATC4,21,1.017e-09,0.4173371580941545,0.6282046218829621,29560,ENSG00000100968,18,ENSG00000100968,protein_coding,"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4 [Source:HGNC Symbol;Acc:7778]",NFATC4,602699,7778,4776
KHNYN,6,1.017e-09,0.4173371580941545,0.6282046218829621,20122,ENSG00000100441,19,ENSG00000100441,protein_coding,KH and NYN domain containing [Source:HGNC Symbol;Acc:20166],KHNYN,,20166,23351
CBLN3,2,1.017e-09,0.4173371580941545,0.6282046218829621,17368,ENSG00000139899,20,ENSG00000139899,protein_coding,cerebellin 3 precursor [Source:HGNC Symbol;Acc:20146],CBLN3,612978,20146,643866
NYNRIN,2,1.017e-09,0.4173371580941545,0.6282046218829621,0,ENSG00000205978,21,ENSG00000205978,protein_coding,NYN domain and retroviral integrase containing [Source:HGNC Symbol;Acc:20165],NYNRIN,,20165,57523
KCNQ1,588,2.536e-78,0.4139085979890992,0.6250416496233611,0,ENSG00000053918,22,ENSG00000053918,protein_coding,"potassium voltage-gated channel, KQT-like subfamily, member 1 [Source:HGNC Symbol;Acc:6294]",KCNQ1,607542,6294,3784
TOX2,31,5.807639999999999e-31,0.4035245834815864,0.6152155563466897,0,ENSG00000124191,23,ENSG00000124191,protein_coding,TOX high mobility group box family member 2 [Source:HGNC Symbol;Acc:16095],TOX2,611163,16095,84969
ALG12,12,1.793e-17,0.4054538318564947,0.6149653087357695,42149,ENSG00000182858,24,ENSG00000182858,protein_coding,"ALG12, alpha-1,6-mannosyltransferase [Source:HGNC Symbol;Acc:19358]",ALG12,607144,19358,79087
CRELD2,36,1.793e-17,0.4054538318564947,0.6149653087357695,33067,ENSG00000184164,25,ENSG00000184164,protein_coding,cysteine-rich with EGF-like domains 2 [Source:HGNC Symbol;Acc:28150],CRELD2,607171,28150,79174
PIM3,8,1.793e-17,0.4054538318564947,0.6149653087357695,0,ENSG00000198355,26,ENSG00000198355,protein_coding,pim-3 oncogene [Source:HGNC Symbol;Acc:19310],PIM3,610580,19310,415116
